=== 内存监控开始 === 1755157778
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755158261,2964,30153,3671,87,4035,12288,3.28,15.51
1755158262,2984,30217,3691,87,4035,12288,4.88,15.54
1755158263,2964,30153,3671,87,4035,12288,0.00,15.51
1755158264,2926,30217,3633,87,4035,12288,2.57,15.45
1755158265,2908,30153,3615,87,4035,12288,0.00,15.42
1755158266,2938,30313,3645,87,4121,12288,54.96,15.48
1755158267,2908,30153,3615,87,4035,12288,1.64,15.44
1755158268,2933,30281,3640,87,4127,12288,0.00,15.46
1755158269,2908,30153,3615,87,4035,12288,1.94,15.44
1755158270,2928,30281,3635,87,4035,12288,4.32,15.47
1755158271,2908,30153,3615,87,4035,12288,1.39,15.43
1755158272,2933,30281,3640,87,4035,12288,0.00,15.46
1755158273,2908,30153,3615,87,4035,12288,2.91,15.44
1755158274,2942,30281,3649,87,4035,12288,46.43,15.47
1755158275,2914,30159,3621,87,4035,12288,1.65,15.44
1755158276,2948,30287,3655,87,4035,12288,46.79,15.50
1755158277,2873,30118,3580,87,4035,12288,2.82,15.36
1755158278,2893,30246,3600,87,4035,12288,56.84,15.40
1755158279,2879,30124,3586,87,4035,12288,1.92,15.37
1755158281,2878,30124,3586,87,4035,12288,0.00,15.38
1755158282,2878,30124,3586,87,4035,12288,1.58,15.37
1755158283,2902,30180,3612,89,4045,12288,2.08,15.41
1755158284,2902,30180,3612,89,4045,12288,0.00,15.41
1755158285,2902,30180,3611,89,4045,12288,1.14,15.42
1755158286,2902,30180,3611,89,4045,12288,2.27,15.43
1755158287,2902,30180,3612,89,4045,12288,1.33,15.43
1755158288,2902,30180,3612,89,4045,12288,1.33,15.43
1755158289,2902,30180,3612,89,4045,12288,2.63,15.41
1755158290,2919,30244,3629,89,4045,12288,2.46,15.46
1755158291,2902,30180,3612,89,4045,12288,2.50,15.43
1755158292,2927,30308,3637,89,4129,12288,2.90,15.46
1755158293,2902,30180,3612,89,4045,12288,1.21,15.44
1755158294,2913,30308,3622,89,4117,12288,37.85,15.43
1755158295,2902,30180,3612,89,4045,12288,2.13,15.41
1755158296,2918,30308,3628,89,4153,12288,3.45,15.45
1755158297,2902,30180,3612,89,4045,12288,2.56,15.43
1755158298,2931,30308,3641,89,4165,12288,23.68,15.48
1755158299,2902,30180,3612,89,4045,12288,2.44,15.42
1755158300,2923,30308,3632,89,4045,12288,33.73,15.45
1755158301,2902,30180,3612,89,4045,12288,0.98,15.43
1755158302,2928,30308,3638,89,4045,12288,59.87,15.47
1755158303,2921,30244,3631,89,4045,12288,3.61,15.46
1755158304,2927,30308,3637,89,4045,12288,70.30,15.46
1755158305,2921,30244,3631,89,4045,12288,0.00,15.45
1755158306,2921,30244,3631,89,4045,12288,0.86,15.47
1755158308,2921,30244,3631,89,4045,12288,1.02,15.46
1755158309,2921,30244,3631,89,4045,12288,0.81,15.47
1755158310,2921,30244,3631,89,4045,12288,2.82,15.45
1755158311,2921,30244,3631,89,4045,12288,1.82,15.47
1755158312,2921,30244,3631,89,4045,12288,1.54,15.46
1755158313,2924,30244,3634,89,4045,12288,2.94,15.48
1755158314,2924,30244,3634,89,4045,12288,1.92,15.45
1755158315,2925,30244,3634,89,4045,12288,1.74,15.49
1755158316,2925,30244,3634,89,4045,12288,4.55,15.47
1755158317,2924,30244,3634,89,4045,12288,0.00,15.47
1755158318,2924,30244,3634,89,4045,12288,3.48,15.47
1755158319,2924,30244,3634,89,4045,12288,4.94,15.50
1755158320,2931,30308,3641,89,4111,12288,7.69,15.48
1755158321,2924,30244,3634,89,4045,12288,1.10,15.46
1755158322,2959,30372,3668,89,4147,12288,5.13,15.51
1755158323,2942,30261,3652,89,4045,12288,1.38,15.49
1755158324,2963,30389,3672,89,4111,12288,35.01,15.54
1755158325,2895,30214,3604,89,4045,12288,2.45,15.44
1755158326,2976,30342,3685,89,4161,12288,5.37,15.56
1755158327,2912,30232,3622,89,4045,12288,4.08,15.45
1755158328,2938,30360,3647,89,4045,12288,50.00,15.37
1755158329,2912,30232,3622,89,4045,12288,0.83,15.33
1755158330,2938,30360,3647,89,4045,12288,0.00,15.36
1755158331,2912,30232,3622,89,4045,12288,1.09,15.33
1755158332,2989,30360,3698,89,4045,12288,80.00,15.44
1755158333,2968,30232,3678,89,4045,12288,4.65,15.40
1755158335,2912,30232,3622,89,4045,12288,1.54,15.34
1755158336,2912,30232,3622,89,4045,12288,0.00,15.33
1755158337,2930,30249,3640,89,4045,12288,1.36,15.37
1755158338,2930,30249,3640,89,4045,12288,2.76,15.37
1755158339,2930,30249,3640,89,4045,12288,2.67,15.37
1755158340,2930,30249,3640,89,4045,12288,1.61,15.38
1755158341,2976,30249,3685,89,4045,12288,0.65,15.48
1755158342,2976,30249,3686,89,4045,12288,0.00,15.46
1755158343,2976,30249,3686,89,4045,12288,1.36,15.46
1755158344,2987,30313,3697,89,4045,12288,2.74,15.49
1755158345,2931,30249,3640,89,4045,12288,2.65,15.41
1755158346,2931,30249,3640,89,4045,12288,1.86,15.39
1755158347,2931,30249,3640,89,4045,12288,0.00,15.38
1755158348,2937,30313,3647,89,4123,12288,3.85,15.41
1755158349,2931,30249,3641,89,4045,12288,2.44,15.40
1755158350,2938,30313,3648,89,4075,12288,30.43,15.39
1755158351,2931,30249,3641,89,4045,12288,2.22,15.40
